"byz","actual","predicted","selected.predicted","clock","threshold","blockchain_size_kB","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
2,25,24.7172,24.7172,1000,0,NA,0.282799999999998,0.282799999999998,0.282799999999998,0.079975839999999,FALSE,75,75.2828,75.2828,-0.282799999999995,75.2828,0.282799999999995,67.5,7.5,0.999884999999992,-0.717084999999994,-6.93955
2,25,30.44063,30.44063,1000,0,NA,-5.44063,5.44063,5.44063,29.6004547969,FALSE,75,69.55937,69.55937,5.44063,69.55937,5.44063,67.5,7.5,0.999884999999992,4.44074500000001,-1.78172
2,25,16.06827,16.06827,1000,0,NA,8.93173,8.93173,8.93173,79.7758007929,FALSE,75,83.93173,83.93173,-8.93173,83.93173,8.93173,67.5,7.5,0.999884999999992,7.93184500000001,1.70938
2,25,18.95069,18.95069,1000,0,NA,6.04931,6.04931,6.04931,36.5941514761,FALSE,75,81.04931,81.04931,-6.04930999999999,81.04931,6.04930999999999,67.5,7.5,0.999884999999992,5.04942500000001,-1.17304
2,25,26.40953,26.40953,1000,0,NA,-1.40953,1.40953,1.40953,1.98677482089999,FALSE,75,73.59047,73.59047,1.40952999999999,73.59047,1.40952999999999,67.5,7.5,0.999884999999992,0.409645000000005,-5.81282
3,25,39.19619,39.19619,1000,0,NA,-14.19619,14.19619,14.19619,201.5318105161,FALSE,75,60.80381,60.80381,14.19619,60.80381,14.19619,63.75,11.25,5.1110025,9.0851875,6.97384
3,25,27.37227,27.37227,1000,0,NA,-2.37227,2.37227,2.37227,5.6276649529,FALSE,75,72.62773,72.62773,2.37227,72.62773,2.37227,63.75,11.25,5.1110025,-2.7387325,-4.85008
3,25,37.49027,37.49027,1000,0,NA,-12.49027,12.49027,12.49027,156.0068446729,FALSE,75,62.50973,62.50973,12.49027,62.50973,12.49027,63.75,11.25,5.1110025,7.3792675,5.26792
3,25,36.64079,36.64079,1000,0,NA,-11.64079,11.64079,11.64079,135.5079918241,FALSE,75,63.35921,63.35921,11.64079,63.35921,11.64079,63.75,11.25,5.1110025,6.5297875,4.41844
3,25,26.87813,26.87813,1000,0,NA,-1.87813,1.87813,1.87813,3.5273722969,FALSE,75,73.12187,73.12187,1.87813,73.12187,1.87813,63.75,11.25,5.1110025,-3.2328725,-5.34422
4,25,18.16306,18.16306,1000,0,NA,6.83694,6.83694,6.83694,46.7437485636,FALSE,75,81.83694,81.83694,-6.83694,81.83694,6.83694,60,15,9.22211999999999,-2.38517999999999,-0.38541
4,25,29.91474,29.91474,1000,0,NA,-4.91474,4.91474,4.91474,24.1546692676,FALSE,75,70.08526,70.08526,4.91473999999999,70.08526,4.91473999999999,60,15,9.22211999999999,-4.30737999999999,-2.30761
4,25,29.50568,29.50568,1000,0,NA,-4.50568,4.50568,4.50568,20.3011522624,FALSE,75,70.49432,70.49432,4.50568,70.49432,4.50568,60,15,9.22211999999999,-4.71643999999999,-2.71667
4,25,23.40959,23.40959,1000,0,NA,1.59041,1.59041,1.59041,2.52940396810001,FALSE,75,76.59041,76.59041,-1.59041000000001,76.59041,1.59041000000001,60,15,9.22211999999999,-7.63170999999999,-5.63194
