"byz","actual","predicted","selected.predicted","clock","threshold","error","absError","selected.absError","squaredError","consWhite","actual.white","predicted.white","selected.predicted.white","error.white","overall.mean","overall.absError","theoretical.actual","theoretical.pee","error.extrapolation","pee","harm"
4,25,91.632459375,91.83475,1000,0,-66.632459375,66.632459375,66.83475,4439.88464236102,FALSE,75,8.367540625,8.16525,66.632459375,6.6940325,68.3059675,60,15,15.148858,53.1571095,65.162626875
5,25,93.0330953333333,93.15699,1000,0,-68.0330953333333,68.0330953333333,68.15699,4628.50206063442,FALSE,75,6.96690466666666,6.84301000000001,68.0330953333333,5.2251785,69.7748215,56.25,18.75,18.889554375,50.885267125,66.5632628333333
6,25,93.3069557142857,93.61077,1000,0,-68.3069557142857,68.3069557142857,68.61077,4665.84019895339,FALSE,75,6.69304428571429,6.38923,68.3069557142857,4.68513100000001,70.314869,52.5,22.5,22.63025075,47.68461825,66.8371232142857
7,25,94.54,94.37223,1000,0,-69.54,69.54,69.37223,4835.8116,FALSE,75,5.45999999999999,5.62777,69.54,3.549,71.451,48.75,26.25,26.370947125,45.080052875,68.0701675
0,25,28.014285,27.9509,1000,0,-3.01428499999999,3.01428499999999,2.9509,9.08591406122496,FALSE,75,71.985715,72.0491,3.014285,71.985715,3.014285,75,0,0.186072499999995,2.82821250000001,1.54445249999999
1,25,68.6307,68.3799,1000,0,-43.6307,43.6307,43.3799,1903.63798249,FALSE,75,31.3693,31.6201,43.6307,29.800835,45.199165,71.25,3.75,3.92676887499999,41.272396125,42.1608675
2,25,79.7930333333333,78.2705,1000,0,-54.7930333333333,54.7930333333333,53.2705,3002.27650186778,FALSE,75,20.2069666666667,21.7295,54.7930333333333,18.18627,56.81373,67.5,7.5,7.66746524999999,49.14626475,53.3232008333333
3,25,86.8535117647059,87.0022,1000,0,-61.8535117647059,61.8535117647059,62.0022,3825.85691762661,FALSE,75,13.1464882352941,12.9978,61.8535117647059,11.174515,63.825485,63.75,11.25,11.408161625,52.417323375,60.3836792647059
4,25,90.6533425,90.10884,1000,0,-65.6533425,65.6533425,65.10884,4310.36138142231,FALSE,75,9.34665750000001,9.89116,65.6533425,7.47732600000001,67.522674,60,15,15.148858,52.373816,64.18351
5,25,92.7792206666667,93.63577,1000,0,-67.7792206666667,67.7792206666667,68.63577,4594.02275418069,FALSE,75,7.22077933333334,6.36423000000001,67.7792206666667,5.4155845,69.5844155,56.25,18.75,18.889554375,50.694861125,66.3093881666667
